"Anti-miARNs","Recuento_Celular","Replicas ","Tiempo","Concentracion","Fluorescencia"
"0","0","5","1","10","49"
"0","0","6","1","10","77"
"0","0","7","1","10","76"
"0","0","8","1","10","110"
"0","0","1","2","10","81"
"0","0","2","2","10","93"
"0","0","3","2","10","142"
"0","0","4","2","10","160"
"0","0","5","2","10","104"
"0","0","6","2","10","92"
"0","0","7","2","10","117"
"0","0","8","2","10","127"
"0","0","1","3","10","119"
"0","0","2","3","10","158"
"0","0","3","3","10","153"
"0","0","4","3","10","244"
"0","0","5","3","10","259"
"0","0","6","3","10","224"
"0","0","7","3","10","244"
"0","0","8","3","10","242"
"0","0","1","4","10","229"
"0","0","2","4","10","397"
"0","0","3","4","10","319"
"0","0","4","4","10","439"
"0","0","5","4","10","499"
"0","0","6","4","10","545"
"0","0","7","4","10","580"
"0","0","8","4","10","577"
"0","0","1","5","10","397"
"0","0","2","5","10","654"
"0","0","3","5","10","448"
"0","0","4","5","10","721"
"0","0","5","5","10","924"
"0","0","6","5","10","895"
"0","0","7","5","10","945"
"0","0","8","5","10","890"
"0","0","1","6","10","516"
"0","0","2","6","10","882"
"0","0","3","6","10","695"
"0","0","4","6","10","1054"
"0","0","5","6","10","1321"
"0","0","6","6","10","1147"
"0","0","7","6","10","1295"
"0","0","8","6","10","1286"
"0","0","1","7","10","673"
"0","0","2","7","10","1070"
"0","0","3","7","10","859"
"0","0","4","7","10","1341"
"0","0","5","7","10","1615"
"0","0","6","7","10","1280"
"0","0","7","7","10","1600"
"0","0","8","7","10","1587"
"1","1","1","1","5","14168"
"1","1","2","1","5","1867"
"1","1","3","1","5","2718"
"1","1","4","1","5","2107"
"1","1","5","1","5","10177"
"1","1","6","1","5","2346"
"1","1","7","1","5","3431"
"1","1","8","1","5","2615"
"1","1","1","2","5","20321"
"1","1","2","2","5","9062"
"1","1","3","2","5","17077"
"1","1","4","2","5","8044"
"1","1","5","2","5","18458"
"1","1","6","2","5","3956"
"1","1","7","2","5","16814"
"1","1","8","2","5","4129"
"1","1","1","3","5","13753"
"1","1","2","3","5","6857"
"1","1","3","3","5","13710"
"1","1","4","3","5","9375"
"1","1","5","3","5","6550"
"1","1","6","3","5","5937"
"1","1","7","3","5","10719"
"1","1","8","3","5","6092"
"1","1","1","4","5","11274"
"1","1","2","4","5","7300"
"1","1","3","4","5","11092"
"1","1","4","4","5","8758"
"1","1","5","4","5","6863"
"1","1","6","4","5","6693"
"1","1","7","4","5","7411"
"1","1","8","4","5","6340"
"1","1","1","5","5","10003"
"1","1","2","5","5","6916"
"1","1","3","5","5","8851"
"1","1","4","5","5","8025"
"1","1","5","5","5","7103"
"1","1","6","5","5","5610"
"1","1","7","5","5","6985"
"1","1","8","5","5","5393"
"1","1","1","6","5","9101"
"1","1","2","6","5","6000"
"1","1","3","6","5","8288"
"1","1","4","6","5","7137"
"1","1","5","6","5","6968"
"1","1","6","6","5","5358"
"1","1","7","6","5","6857"
"1","1","8","6","5","5277"
"1","1","1","7","5","8353"
"1","1","2","7","5","5730"
"1","1","3","7","5","7564"
"1","1","4","7","5","6735"
"1","1","5","7","5","6408"
"1","1","6","7","5","4976"
"1","1","7","7","5","6136"
"1","1","8","7","5","4778"
"1","0","1","1","5","65"
"1","0","2","1","5","119"
"1","0","3","1","5","176"
"1","0","4","1","5","179"
"1","0","5","1","5","55"
"1","0","6","1","5","165"
"1","0","7","1","5","42"
"1","0","8","1","5","175"
"1","0","1","2","5","72"
"1","0","2","2","5","93"
"1","0","3","2","5","110"
"1","0","4","2","5","137"
"1","0","5","2","5","85"
"1","0","6","2","5","178"
"1","0","7","2","5","85"
"1","0","8","2","5","186"
"1","0","1","3","5","40"
"1","0","2","3","5","53"
"1","0","3","3","5","73"
"1","0","4","3","5","106"
"1","0","5","3","5","50"
"1","0","6","3","5","105"
"1","0","7","3","5","43"
"1","0","8","3","5","109"
"1","0","1","4","5","49"
"1","0","2","4","5","89"
"1","0","3","4","5","45"
"1","0","4","4","5","112"
"1","0","5","4","5","59"
"1","0","6","4","5","133"
"1","0","7","4","5","46"
"1","0","8","4","5","145"
"1","0","1","5","5","82"
"1","0","2","5","5","147"
"1","0","3","5","5","72"
"1","0","4","5","5","132"
"1","0","5","5","5","119"
"1","0","6","5","5","196"
"1","0","7","5","5","96"
"1","0","8","5","5","196"
"1","0","1","6","5","134"
"1","0","2","6","5","228"
"1","0","3","6","5","127"
"1","0","4","6","5","247"
"1","0","5","6","5","207"
"1","0","6","6","5","361"
"1","0","7","6","5","204"
"1","0","8","6","5","367"
"1","0","1","7","5","204"
"1","0","2","7","5","329"
"1","0","3","7","5","207"
"1","0","4","7","5","343"
"1","0","5","7","5","294"
"1","0","6","7","5","546"
"1","0","7","7","5","304"
"1","0","8","7","5","499"
"0","1","1","1","5","21615"
"0","1","2","1","5","9758"
"0","1","3","1","5","22084"
"0","1","4","1","5","7979"
"0","1","5","1","5","1709"
"0","1","6","1","5","1590"
"0","1","7","1","5","1678"
"0","1","8","1","5","1857"
"0","1","1","2","5","22425"
"0","1","2","2","5","18789"
"0","1","3","2","5","21652"
"0","1","4","2","5","17125"
"0","1","5","2","5","5964"
"0","1","6","2","5","7777"
"0","1","7","2","5","6341"
"0","1","8","2","5","6698"
"0","1","1","3","5","19869"
"0","1","2","3","5","14129"
"0","1","3","3","5","18641"
"0","1","4","3","5","12365"
"0","1","5","3","5","6052"
"0","1","6","3","5","5437"
"0","1","7","3","5","4994"
"0","1","8","3","5","4959"
"0","1","1","4","5","14629"
"0","1","2","4","5","9435"
"0","1","3","4","5","14059"
"0","1","4","4","5","9751"
"0","1","5","4","5","6898"
"0","1","6","4","5","6769"
"0","1","7","4","5","6233"
"0","1","8","4","5","6221"
"0","1","1","5","5","11061"
"0","1","2","5","5","7836"
"0","1","3","5","5","10243"
"0","1","4","5","5","8247"
"0","1","5","5","5","6225"
"0","1","6","5","5","6205"
"0","1","7","5","5","5940"
"0","1","8","5","5","5931"
"0","1","1","6","5","8979"
"0","1","2","6","5","7458"
"0","1","3","6","5","8291"
"0","1","4","6","5","7527"
"0","1","5","6","5","5640"
"0","1","6","6","5","5505"
"0","1","7","6","5","5495"
"0","1","8","6","5","5282"
"0","1","1","7","5","7653"
"0","1","2","7","5","6228"
"0","1","3","7","5","7145"
"0","1","4","7","5","6460"
"0","1","5","7","5","5247"
"0","1","6","7","5","4896"
"0","1","7","7","5","5135"
"0","1","8","7","5","4896"
"0","0","1","1","5","67"
"0","0","2","1","5","149"
