"Anti-miARNs","Recuento_Celular","Replicas ","Tiempo","Concentracion","Fluorescencia","","","","","","","","","","","","","",""
"0","1","5","5","20","5508","","","","","","","","","","","","","",""
"0","1","6","5","20","6489","","","","","","","","","","","","","",""
"0","1","7","5","20","4667","","","","","","","","","","","","","",""
"0","1","8","5","20","6559","","","","","","","","","","","","","",""
"0","1","1","6","20","5632","","","","","","","","","","","","","",""
"0","1","2","6","20","6113","","","","","","","","","","","","","",""
"0","1","3","6","20","4300","","","","","","","","","","","","","",""
"0","1","4","6","20","6221","","","","","","","","","","","","","",""
"0","1","5","6","20","5206","","","","","","","","","","","","","",""
"0","1","6","6","20","6312","","","","","","","","","","","","","",""
"0","1","7","6","20","4417","","","","","","","","","","","","","",""
"0","1","8","6","20","6205","","","","","","","","","","","","","",""
"0","1","1","7","20","5821","","","","","","","","","","","","","",""
"0","1","2","7","20","6257","","","","","","","","","","","","","",""
"0","1","3","7","20","4357","","","","","","","","","","","","","",""
"0","1","4","7","20","6283","","","","","","","","","","","","","",""
"0","1","5","7","20","5308","","","","","","","","","","","","","",""
"0","1","6","7","20","6475","","","","","","","","","","","","","",""
"0","1","7","7","20","4472","","","","","","","","","","","","","",""
"0","1","8","7","20","6360","","","","","","","","","","","","","",""
"0","0","1","1","20","32","","","","","","","","","","","","","",""
"0","0","2","1","20","46","","","","","","","","","","","","","",""
"0","0","3","1","20","52","","","","","","","","","","","","","",""
"0","0","4","1","20","81","","","","","","","","","","","","","",""
"0","0","5","1","20","18","","","","","","","","","","","","","",""
"0","0","6","1","20","29","","","","","","","","","","","","","",""
"0","0","7","1","20","53","","","","","","","","","","","","","",""
"0","0","8","1","20","92","","","","","","","","","","","","","",""
"0","0","1","2","20","20655","","","","","","","","","","","","","",""
"0","0","2","2","20","47","","","","","","","","","","","","","",""
"0","0","3","2","20","85","","","","","","","","","","","","","",""
"0","0","4","2","20","111","","","","","","","","","","","","","",""
"0","0","5","2","20","51","","","","","","","","","","","","","",""
"0","0","6","2","20","52","","","","","","","","","","","","","",""
"0","0","7","2","20","111","","","","","","","","","","","","","",""
"0","0","8","2","20","106","","","","","","","","","","","","","",""
"0","0","1","3","20","114","","","","","","","","","","","","","",""
"0","0","2","3","20","101","","","","","","","","","","","","","",""
"0","0","3","3","20","183","","","","","","","","","","","","","",""
